parameter,n_eff
player[17],3239.83657592761
player[18],4938.52193601975
player[19],4784.58164228269
player[20],2865.45029705344
player[21],4035.65228966114
player[22],3896.13345054097
player[23],2638.81689856263
player[24],4173.34456781319
player[25],2089.64616564368
player[26],4841.25264038064
player[27],3364.08180394491
player[28],3907.45145382616
player[29],3472.46274747256
player[30],4796.09668413379
player[31],4090.73625477305
player[32],3388.5729362383
player[33],5227.6786172383
player[34],4102.79406199029
player[35],4294.00084649983
player[36],4064.09498780251
player[37],3580.58841387352
player[38],3938.53506526519
player[39],4326.89292275301
player[40],3525.3552296444
player[41],3729.72246932381
player[42],4988.20663634056
player[43],3027.19819388252
player[44],4455.45956253044
player[45],2891.00968579405
player[46],4182.51741520729
player[47],4038.23611246417
player[48],4422.89354439315
player[49],3390.58244641171
player[50],4024.10405633815
player[51],3886.93561448945
player[52],4027.96785040302
player[53],4717.7756264156
player[54],3431.20526605674
player[55],4156.77807836236
player[56],2645.9645733809
player[57],4038.22706515149
player[58],4434.29364955059
player[59],2632.63613763129
player[60],3667.96465557401
player[61],4731.92057048116
player[62],5256.97462999936
player[63],4389.16342120819
player[64],4243.05084189535
player[65],4130.19878603139
player[66],4939.86343873522
player[67],3983.43831398485
player[68],4810.50785937951
player[69],3914.67087407043
player[70],3859.58707088927
player[71],3723.01918052996
player[72],2312.90186971013
"starter_vs_starter[1,1]",3781.02352276135
"starter_vs_starter[1,2]",4258.03397429102
"starter_vs_starter[1,3]",3528.0027277848
"starter_vs_starter[1,4]",3992.38267594139
"starter_vs_starter[1,5]",3640.9856780342
"starter_vs_starter[1,6]",3338.46213114605
"starter_vs_starter[1,7]",3806.97159643525
"starter_vs_starter[2,1]",4032.78166877758
"starter_vs_starter[2,2]",4879.09509227504
"starter_vs_starter[2,3]",5020.27980054325
"starter_vs_starter[2,4]",4795.31091992842
"starter_vs_starter[2,5]",3875.76356666736
"starter_vs_starter[2,6]",4381.41247555909
"starter_vs_starter[2,7]",4947.04786613371
"starter_vs_starter[3,1]",3120.01986911631
"starter_vs_starter[3,2]",3696.57194657194
"starter_vs_starter[3,3]",4863.88650898164
"starter_vs_starter[3,4]",3878.90982278
"starter_vs_starter[3,5]",3859.46216674868
"starter_vs_starter[3,6]",3945.22039095771
"starter_vs_starter[3,7]",4023.27753820064
"starter_vs_starter[4,1]",4404.92195232353
"starter_vs_starter[4,2]",4443.99951653766
"starter_vs_starter[4,3]",4920.70875514718
"starter_vs_starter[4,4]",4252.63940926617
"starter_vs_starter[4,5]",4390.03269941127
"starter_vs_starter[4,6]",4784.02709612387
"starter_vs_starter[4,7]",6030.38593866029
"starter_vs_starter[5,1]",3576.84319525412
"starter_vs_starter[5,2]",4700.04632151551
"starter_vs_starter[5,3]",4246.17709261856
"starter_vs_starter[5,4]",4017.07580605824
"starter_vs_starter[5,5]",4436.72688072526
"starter_vs_starter[5,6]",3617.99771140424
"starter_vs_starter[5,7]",4778.36097584961
"starter_vs_starter[6,1]",3347.43628672945
"starter_vs_starter[6,2]",4504.35550116897
"starter_vs_starter[6,3]",3174.78104497917
"starter_vs_starter[6,4]",4483.26378529849
"starter_vs_starter[6,5]",3690.44709679989
"starter_vs_starter[6,6]",4139.26863702653
"starter_vs_starter[6,7]",4165.28721054634
"starter_vs_starter[7,1]",3818.02154426894
"starter_vs_starter[7,2]",4147.73011552793
"starter_vs_starter[7,3]",4497.32935525587
"starter_vs_starter[7,4]",4188.1593296951
"starter_vs_starter[7,5]",4071.77425493709
"starter_vs_starter[7,6]",3961.14727170256
"starter_vs_starter[7,7]",4741.86901564214
"starter_vs_spec[1,1]",3809.695754144
"starter_vs_spec[1,2]",4635.13608304249
"starter_vs_spec[1,3]",4866.86351720637
"starter_vs_spec[1,4]",3767.62244458953
"starter_vs_spec[1,5]",4825.51789875782
"starter_vs_spec[1,6]",4203.8251357522
"starter_vs_spec[1,7]",5120.08887631826
"starter_vs_spec[1,8]",4465.86773492966
"starter_vs_spec[1,9]",4070.51647785252
"starter_vs_spec[1,10]",3717.76090368735
"starter_vs_spec[1,11]",3559.40766453782
"starter_vs_spec[1,12]",3849.26171288749
"starter_vs_spec[1,13]",4235.48029028146
"starter_vs_spec[1,14]",4177.20669301005
"starter_vs_spec[1,15]",4416.17069511336
"starter_vs_spec[1,16]",3344.01411027615
"starter_vs_spec[1,17]",4311.67293318918
"starter_vs_spec[1,18]",4445.39337393617
"starter_vs_spec[1,19]",4059.67238446663
"starter_vs_spec[1,20]",4392.62209310889
"starter_vs_spec[2,1]",4267.90509635884
"starter_vs_spec[2,2]",3894.94100222399
